Date,Open,High,Low,Close,AdjClose,Volume
19-04-2013,383.14389,400.219879,381.69931,398.441528,398.441528,11649904
22-04-2013,398.805176,400.478912,386.052979,398.561096,398.561096,5788415
23-04-2013,399.004425,406.227356,398.685638,402.441559,402.441559,4601784
24-04-2013,402.546173,407.472687,402.491364,405.206177,405.206177,3671912
25-04-2013,406.600952,406.710541,402.307068,403.039307,403.039307,3999335
26-04-2013,402.292114,402.361847,396.802673,399.213654,399.213654,4994049
29-04-2013,400.125244,409.813904,400.000702,408.000702,408.000702,4618848
30-04-2013,407.970825,412.274689,407.313293,410.745422,410.745422,4630692
01-05-2013,410.092865,410.82016,406.655762,408.683167,408.683167,2920907
02-05-2013,408.518768,415.716797,407.995728,413.256012,413.256012,4051730
03-05-2013,416.917297,421.818909,416.439087,421.280945,421.280945,5044036
06-05-2013,422.546204,429.315826,422.546204,429.166382,429.166382,4298652
07-05-2013,429.893646,430.322052,423.746704,427.014435,427.014435,3932686
08-05-2013,426.899872,435.30835,424.862518,435.183838,435.183838,4955104
09-05-2013,433.794037,438.187561,432.493896,434.112854,434.112854,4417697
10-05-2013,436.020691,438.625916,434.451569,438.471497,438.471497,3809626
13-05-2013,437.804016,439.587311,435.059296,437.126556,437.126556,2907859
14-05-2013,437.111603,442.685699,436.932281,441.893677,441.893677,3170439
15-05-2013,446.078003,456.479004,445.340759,456.234924,456.234924,8001680
16-05-2013,457.784119,458.272278,449.320831,450.247375,450.247375,6443261
17-05-2013,453.310883,455.039398,448.578613,452.892456,452.892456,5604930
20-05-2013,450.810242,458.581116,450.810242,452.568665,452.568665,4562437
21-05-2013,452.314606,454.127808,447.129059,451.791565,451.791565,3980866
22-05-2013,449.594818,452.957214,441.784088,443.049347,443.049347,5140396
23-05-2013,436.862518,443.318329,435.368134,439.746735,439.746735,4567255
24-05-2013,435.995789,437.769135,433.878723,435.029388,435.029388,4610818
28-05-2013,440.100403,444.404266,438.556183,438.989563,438.989563,4531923
29-05-2013,436.21994,437.355682,430.53125,432.533752,432.533752,4041893
30-05-2013,433.335754,437.80899,431.587311,433.754181,433.754181,4257298
31-05-2013,432.439117,436.862518,432.140228,433.983337,433.983337,3953564
03-06-2013,434.869995,435.35318,425.913574,432.195038,432.195038,4969959
04-06-2013,432.304626,433.669495,425.440338,427.945953,427.945953,3751208
05-06-2013,429.644592,433.101624,426.96463,428.244843,428.244843,4229394
06-06-2013,430.536255,431.547455,422.028137,430.705597,430.705597,5177534
07-06-2013,433.584808,438.356934,431.044342,438.222443,438.222443,5369250
10-06-2013,439.403015,443.836395,438.401764,443.447845,443.447845,4693125
11-06-2013,440.334503,441.843872,438.117828,438.262299,438.262299,3528376
12-06-2013,441.076721,441.345734,433.201263,434.361908,434.361908,4426128
13-06-2013,432.867493,438.187561,431.134003,436.862518,436.862518,4155317
14-06-2013,438.406738,440.698151,435.432892,435.8862,435.8862,4506830
17-06-2013,437.973358,443.054321,437.500153,441.470276,441.470276,4308690
18-06-2013,442.665771,448.817719,442.516327,448.628418,448.628418,4350044
19-06-2013,449.002045,453.71936,447.074249,448.658325,448.658325,5853659
20-06-2013,445.325806,448.817719,440.005737,440.718079,440.718079,6769278
21-06-2013,442.511353,443.278473,434.904877,438.82019,438.82019,7994453
24-06-2013,434.312103,436.523804,430.013214,433.270996,433.270996,6056416
25-06-2013,436.992035,438.19754,430.640839,431.482697,431.482697,5125540
26-06-2013,435.243591,437.360657,433.659546,435.193787,435.193787,3676529
27-06-2013,437.759186,440.693176,436.688171,436.8974,436.8974,3867442
28-06-2013,435.816467,439.273499,435.462769,438.541229,438.541229,4716212
01-07-2013,441.569885,444.37439,440.847595,442.282227,442.282227,3462530
