Month,Rate
Jul-56,3.11
Aug-56,3.33
Sep-56,3.38
Oct-56,3.34
Nov-56,3.49
Dec-56,3.59
Jan-57,3.46
Feb-57,3.34
Mar-57,3.41
Apr-57,3.48
May-57,3.6
Jun-57,3.8
Jul-57,3.93
Aug-57,3.93
Sep-57,3.92
Oct-57,3.97
Nov-57,3.72
Dec-57,3.21
Jan-58,3.09
Feb-58,3.05
Mar-58,2.98
Apr-58,2.88
May-58,2.92
Jun-58,2.97
Jul-58,3.2
Aug-58,3.54
Sep-58,3.76
Oct-58,3.8
Nov-58,3.74
Dec-58,3.86
Jan-59,4.02
Feb-59,3.96
Mar-59,3.99
Apr-59,4.12
May-59,4.31
Jun-59,4.34
Jul-59,4.4
Aug-59,4.43
Sep-59,4.68
Oct-59,4.53
Nov-59,4.53
Jan-70,7.79
Feb-70,7.24
Mar-70,7.07
Apr-70,7.39
May-70,7.91
Jun-70,7.84
Jul-70,7.46
Aug-70,7.53
Sep-70,7.39
Oct-70,7.33
Nov-70,6.84
Dec-70,6.39
Jan-71,6.24
Feb-71,6.11
Mar-71,5.7
Apr-71,5.83
May-71,6.39
Jun-71,6.52
Jul-71,6.73
Aug-71,6.58
Sep-71,6.14
Oct-71,5.93
Nov-71,5.81
Dec-71,5.93
Jan-72,5.95
Feb-72,6.08
Mar-72,6.07
Apr-72,6.19
May-72,6.13
Jun-72,6.11
Jul-72,6.11
Aug-72,6.21
Sep-72,6.55
Oct-72,6.48
Nov-72,6.28
Dec-72,6.36
Jan-73,6.46
Feb-73,6.64
Mar-73,6.71
Apr-73,6.67
May-73,6.85
Jul-83,11.38
Aug-83,11.85
Sep-83,11.65
Oct-83,11.54
Nov-83,11.69
Dec-83,11.83
Jan-84,11.67
Feb-84,11.84
Mar-84,12.32
Apr-84,12.63
May-84,13.41
Jun-84,13.56
Jul-84,13.36
Aug-84,12.72
Sep-84,12.52
Oct-84,12.16
Nov-84,11.57
Dec-84,11.5
Jan-85,11.38
Feb-85,11.51
Mar-85,11.86
Apr-85,11.43
May-85,10.85
Jun-85,10.16
Jul-85,10.31
Aug-85,10.33
Sep-85,10.37
Oct-85,10.24
Nov-85,9.78
Dec-85,9.26
Jan-86,9.19
Feb-86,8.7
Mar-86,7.78
Apr-86,7.3
May-86,7.71
Jun-86,7.8
Jul-86,7.3
Aug-86,7.17
Sep-86,7.45
Oct-86,7.43
Nov-86,7.25
Jan-97,6.58
Feb-97,6.42
Mar-97,6.69
Apr-97,6.89
May-97,6.71
Jun-97,6.49
Jul-97,6.22
Aug-97,6.3
Sep-97,6.21
Oct-97,6.03
Nov-97,5.88
Dec-97,5.81
Jan-98,5.54
Feb-98,5.57
Mar-98,5.65
Apr-98,5.64
May-98,5.65
Jun-98,5.5
Jul-98,5.46
Aug-98,5.34
Sep-98,4.81
Oct-98,4.53
Nov-98,4.83
Dec-98,4.65
Jan-99,4.72
Feb-99,5
Mar-99,5.23
Apr-99,5.18
May-99,5.54
Jun-99,5.9
Jul-99,5.79
Aug-99,5.94
Sep-99,5.92
Oct-99,6.11
Nov-99,6.03
Dec-99,6.28
Jan-00,6.66
Feb-00,6.52
Mar-00,6.26
Apr-00,5.99
May-00,6.44
